Index,Album,Folder,Original Photo,Source,Output,Original Size,Output Size
303,Intersection,intersection,DSC_2012.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2012.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0303_DSC_2012.webp,4558x8111,1151x2048
304,Mode,mode,DSC_2026.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2026.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0304_DSC_2026.webp,4640x8256,1151x2048
305,Magnitude,magnitude,DSC_2029.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2029.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0305_DSC_2029.webp,4559x8111,1151x2048
306,Magnitude,magnitude,DSC_2039.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2039.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0306_DSC_2039.webp,8256x4640,2048x1151
307,Yardstick Metric,yardstick-metric,DSC_2051.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2051.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0307_DSC_2051.webp,8087x4545,2048x1151
308,Monomial,monomial,DSC_2057.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2057.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0308_DSC_2057.webp,4640x8256,1151x2048
309,Monomial,monomial,DSC_2063.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2063.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0309_DSC_2063.webp,4383x7799,1151x2048
310,Intersection,intersection,DSC_2065.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2065.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0310_DSC_2065.webp,4558x6078,1536x2048
311,Yardstick Metric,yardstick-metric,DSC_2069.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2069.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0311_DSC_2069.webp,4559x8111,1151x2048
312,Monomial,monomial,DSC_2077.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2077.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0312_DSC_2077.webp,4640x8256,1151x2048
313,Monomial,monomial,DSC_2084.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2084.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0313_DSC_2084.webp,4640x8256,1151x2048
314,Magnitude,magnitude,DSC_2089.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2089.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0314_DSC_2089.webp,8256x4640,2048x1151
315,Monomial,monomial,DSC_2118.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2118.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0315_DSC_2118.webp,8017x3354,2048x857
